year,region,energia,economia,value
2004,eurafrica,renovable,emerging,2.8267499999999988
2005,america,fossil,advanced,70.63183000000002
2005,america,fossil,emerging,21.6249
2005,america,renovable,advanced,7.4813800000000015
2005,america,renovable,emerging,6.756940000000002
2005,asia,fossil,advanced,29.688520000000004
2005,asia,fossil,emerging,64.15158000000001
2005,asia,renovable,advanced,5.0189400000000015
2005,asia,renovable,emerging,4.292249999999999
2005,eurafrica,fossil,advanced,64.04427
2005,eurafrica,fossil,emerging,23.134540000000005
2005,eurafrica,renovable,advanced,6.361440000000001
2005,eurafrica,renovable,emerging,3.123459999999999
2006,america,fossil,advanced,70.0085
2006,america,fossil,emerging,22.515510000000006
2006,america,renovable,advanced,7.61215
2006,america,renovable,emerging,7.022429999999999
2006,asia,fossil,advanced,31.0333
2006,asia,fossil,emerging,67.04624
2006,asia,renovable,advanced,5.49464
2006,asia,renovable,emerging,4.5481300000000005
2006,eurafrica,fossil,advanced,64.84826000000001
2006,eurafrica,fossil,emerging,22.586270000000006
2006,eurafrica,renovable,advanced,6.449269999999999
2006,eurafrica,renovable,emerging,3.128559999999999
2007,america,fossil,advanced,71.15463000000001
2007,america,fossil,emerging,22.91396
2007,america,renovable,advanced,7.41455
2007,america,renovable,emerging,7.240150000000001
2007,asia,fossil,advanced,31.989320000000003
2007,asia,fossil,emerging,70.06428000000001
2007,asia,renovable,advanced,5.858029999999999
2007,asia,renovable,emerging,4.589859999999999
2007,eurafrica,fossil,advanced,64.12527000000001
2007,eurafrica,fossil,emerging,23.242380000000004
2007,eurafrica,renovable,advanced,6.7729
2007,eurafrica,renovable,emerging,3.2698599999999995
2008,america,fossil,advanced,68.58813
2008,america,fossil,emerging,23.83563
2008,america,renovable,advanced,7.77911
2008,america,renovable,emerging,7.400260000000002
2008,asia,fossil,advanced,32.187870000000004
2008,asia,fossil,emerging,72.42617000000001
2008,asia,renovable,advanced,6.92588
2008,asia,renovable,emerging,4.3900700000000015
2008,eurafrica,fossil,advanced,64.84784
2008,eurafrica,fossil,emerging,24.13354
2008,eurafrica,renovable,advanced,7.0392800000000015
2008,eurafrica,renovable,emerging,3.43413
2009,america,fossil,advanced,66.17885999999999
2009,america,fossil,emerging,23.3458
2009,america,renovable,advanced,8.010869999999999
2009,america,renovable,emerging,7.4389
2009,asia,fossil,advanced,32.42142
2009,asia,fossil,emerging,74.30606
2009,asia,renovable,advanced,7.282059999999999
2009,asia,renovable,emerging,4.460000000000001
2009,eurafrica,fossil,advanced,60.2151
2009,eurafrica,fossil,emerging,22.434160000000002
2009,eurafrica,renovable,advanced,7.3963
2009,eurafrica,renovable,emerging,3.3870399999999994
2010,america,fossil,advanced,67.9653
2010,america,fossil,emerging,24.90693000000001
2010,america,renovable,advanced,8.01009
2010,america,renovable,emerging,7.6491000000000025
2010,asia,fossil,advanced,35.22712999999999
2010,asia,fossil,emerging,78.68105999999997
2010,asia,renovable,advanced,8.64535
2010,asia,renovable,emerging,5.032039999999999
2010,eurafrica,fossil,advanced,63.84811
2010,eurafrica,fossil,emerging,23.546769999999995
2010,eurafrica,renovable,advanced,8.132200000000001
2010,eurafrica,renovable,emerging,3.50218
2011,america,fossil,advanced,67.98317
2011,america,fossil,emerging,25.60965
2011,america,renovable,advanced,9.13814
2011,america,renovable,emerging,8.0516
2011,asia,fossil,advanced,37.9442
2011,asia,fossil,emerging,81.05976999999999
2011,asia,renovable,advanced,8.92186
2011,asia,renovable,emerging,5.5631999999999975
2011,eurafrica,fossil,advanced,62.48073999999999
2011,eurafrica,fossil,emerging,23.13805
2011,eurafrica,renovable,advanced,7.973950000000001
2011,eurafrica,renovable,emerging,3.4577700000000013
2012,america,fossil,advanced,68.43374
2012,america,fossil,emerging,26.591690000000003
2012,america,renovable,advanced,8.823509999999997
2012,america,renovable,emerging,7.798990000000001
2012,asia,fossil,advanced,39.9564
2012,asia,fossil,emerging,83.70292999999998
2012,asia,renovable,advanced,10.7139
2012,asia,renovable,emerging,5.5413700000000015
2012,eurafrica,fossil,advanced,61.65342
2012,eurafrica,fossil,emerging,23.22470000000001
2012,eurafrica,renovable,advanced,8.46526
2012,eurafrica,renovable,emerging,3.7164400000000013
1980,world,fosil,advanced,166.54684
1981,world,fosil,advanced,158.91036
1982,world,fosil,advanced,153.46088999999998
1983,world,fosil,advanced,151.56218
1984,world,fosil,advanced,157.86313
1985,world,fosil,advanced,158.74671
1986,world,fosil,advanced,159.82497999999995
1987,world,fosil,advanced,164.14030000000002
1988,world,fosil,advanced,168.67582
1989,world,fosil,advanced,172.19394
1990,world,fosil,advanced,172.1326
1991,world,fosil,advanced,173.34079
1992,world,fosil,advanced,175.32555
1993,world,fosil,advanced,176.12090999999995
1994,world,fosil,advanced,179.38477999999995
1995,world,fosil,advanced,182.30521000000002
1996,world,fosil,advanced,188.45298
1997,world,fosil,advanced,190.90919
1998,world,fosil,advanced,191.37098
1999,world,fosil,advanced,194.57299
2000,world,fosil,advanced,198.09825
2001,world,fosil,advanced,197.33494
2002,world,fosil,advanced,198.55109
2003,world,fosil,advanced,201.49599999999998
2004,world,fosil,advanced,205.28083999999998
2005,world,fosil,advanced,205.79268000000002
2006,world,fosil,advanced,205.39235
2007,world,fosil,advanced,207.01597
2008,world,fosil,advanced,203.26875
2009,world,fosil,advanced,191.77028
2010,world,fosil,advanced,198.77952
2011,world,fosil,advanced,196.1757
2012,world,fosil,advanced,194.33831999999998
1980,world,fosil,emerging,124.90494
1981,world,fosil,emerging,127.2089
1982,world,fosil,emerging,132.05517
1983,world,fosil,emerging,135.49875
1984,world,fosil,emerging,143.12075
1985,world,fosil,emerging,148.76828
1986,world,fosil,emerging,154.89652999999996
1987,world,fosil,emerging,158.72252000000003
1988,world,fosil,emerging,164.17248999999998
1989,world,fosil,emerging,164.49034
1990,world,fosil,emerging,167.46742
1991,world,fosil,emerging,161.53445
1992,world,fosil,emerging,152.91466
1993,world,fosil,emerging,139.62601999999998
1994,world,fosil,emerging,142.36188
1995,world,fosil,emerging,142.81207
1996,world,fosil,emerging,140.25265000000002
1997,world,fosil,emerging,138.93743999999998
1998,world,fosil,emerging,139.38084999999998
1999,world,fosil,emerging,143.54598000000001
2000,world,fosil,emerging,148.41593
2001,world,fosil,emerging,150.02884
2002,world,fosil,emerging,154.56838000000005
2003,world,fosil,emerging,160.13293000000002
2004,world,fosil,emerging,167.22124000000005
2005,world,fosil,emerging,172.85373
2006,world,fosil,emerging,179.36953
2007,world,fosil,emerging,184.79587
2008,world,fosil,emerging,190.9711
2009,world,fosil,emerging,183.38638999999998
2010,world,fosil,emerging,197.59425
2011,world,fosil,emerging,202.94971
2012,world,fosil,emerging,209.55429
