year,region,energia,economia,value
1980,america,fossil,advanced,60.40765
1980,america,fossil,emerging,12.146469999999995
1980,america,renovable,advanced,5.57754
1980,america,renovable,emerging,2.3226000000000004
1980,asia,fossil,advanced,16.089109999999998
1980,asia,fossil,emerging,16.053769999999997
1980,asia,renovable,advanced,1.52177
1980,asia,renovable,emerging,1.47534
1980,eurafrica,fossil,advanced,61.448409999999996
1980,eurafrica,fossil,emerging,19.22951
1980,eurafrica,renovable,advanced,5.1449
1980,eurafrica,renovable,emerging,2.1753
1981,america,fossil,advanced,57.16441
1981,america,fossil,emerging,12.09373
1981,america,renovable,advanced,5.5906699999999985
1981,america,renovable,emerging,2.445499999999999
1981,asia,fossil,advanced,15.272029999999999
1981,asia,fossil,emerging,16.53221
1981,asia,renovable,advanced,1.59687
1981,asia,renovable,emerging,1.6178799999999995
1981,eurafrica,fossil,advanced,59.48457000000001
1981,eurafrica,fossil,emerging,17.881119999999996
1981,eurafrica,renovable,advanced,5.099609999999998
1981,eurafrica,renovable,emerging,2.24729
1982,america,fossil,advanced,53.6122
1982,america,fossil,emerging,12.344850000000005
1982,america,renovable,advanced,6.00849
1982,america,renovable,emerging,2.6346700000000007
1982,asia,fossil,advanced,14.40445
1982,asia,fossil,emerging,17.13491
1982,asia,renovable,advanced,1.7161400000000002
1982,asia,renovable,emerging,1.6215600000000001
1982,eurafrica,fossil,advanced,60.44328
1982,eurafrica,fossil,emerging,17.949460000000002
1982,eurafrica,renovable,advanced,4.931990000000001
1982,eurafrica,renovable,emerging,2.24942
1983,america,fossil,advanced,52.04388
1983,america,fossil,emerging,11.89368
1983,america,renovable,advanced,6.38661
1983,america,renovable,emerging,2.8288299999999995
1983,asia,fossil,advanced,14.28042
1983,asia,fossil,emerging,18.20233
1983,asia,renovable,advanced,1.89183
1983,asia,renovable,emerging,1.6446800000000006
1983,eurafrica,fossil,advanced,60.966800000000006
1983,eurafrica,fossil,emerging,18.05665
1983,eurafrica,renovable,advanced,5.065099999999998
1983,eurafrica,renovable,emerging,2.35983
1984,america,fossil,advanced,54.5501
1984,america,fossil,emerging,12.325269999999998
1984,america,renovable,advanced,6.45758
1984,america,renovable,emerging,3.0839
1984,asia,fossil,advanced,15.25199
1984,asia,fossil,emerging,19.302449999999997
1984,asia,renovable,advanced,1.7808700000000002
1984,asia,renovable,emerging,1.7810100000000004
1984,eurafrica,fossil,advanced,63.119080000000004
1984,eurafrica,fossil,emerging,19.108450000000005
1984,eurafrica,renovable,advanced,5.38931
1984,eurafrica,renovable,emerging,2.2337700000000003
1985,america,fossil,advanced,53.8687
1985,america,fossil,emerging,12.429220000000004
1985,america,renovable,advanced,6.24134
1985,america,renovable,emerging,3.3350099999999987
1985,asia,fossil,advanced,15.14338
1985,asia,fossil,emerging,20.417340000000006
1985,asia,renovable,advanced,1.94488
1985,asia,renovable,emerging,1.7977599999999998
1985,eurafrica,fossil,advanced,65.20665
1985,eurafrica,fossil,emerging,19.06882
1985,eurafrica,renovable,advanced,5.4111199999999995
1985,eurafrica,renovable,emerging,2.2256599999999995
1986,america,fossil,advanced,53.99892
1986,america,fossil,emerging,12.977040000000004
1986,america,renovable,advanced,6.42361
1986,america,renovable,emerging,3.5364800000000005
1986,asia,fossil,advanced,15.537729999999998
1986,asia,fossil,emerging,21.74747
1986,asia,renovable,advanced,1.95658
1986,asia,renovable,emerging,1.9199699999999995
1986,eurafrica,fossil,advanced,67.41546
1986,eurafrica,fossil,emerging,19.57794
1986,eurafrica,renovable,advanced,5.365559999999999
1986,eurafrica,renovable,emerging,2.221649999999999
1987,america,fossil,advanced,55.82986
1987,america,fossil,emerging,13.20759
1987,america,renovable,advanced,6.0483400000000005
1987,america,renovable,emerging,3.66601
1987,asia,fossil,advanced,15.97394
1987,asia,fossil,emerging,23.232009999999995
1987,asia,renovable,advanced,1.95791
1987,asia,renovable,emerging,1.92035
1987,eurafrica,fossil,advanced,69.1534
1987,eurafrica,fossil,emerging,19.63791
1987,eurafrica,renovable,advanced,5.5449
1987,eurafrica,renovable,emerging,2.3366
1988,america,fossil,advanced,58.3764
1988,america,fossil,emerging,13.51157
1988,america,renovable,advanced,5.61534
1988,america,renovable,emerging,3.80029
1988,asia,fossil,advanced,17.016530000000003
1988,asia,fossil,emerging,25.05276
1988,asia,renovable,advanced,2.20793
1988,asia,renovable,emerging,2.17481
1988,eurafrica,fossil,advanced,70.62540999999999
1988,eurafrica,fossil,emerging,19.919749999999997
1988,eurafrica,renovable,advanced,5.88451
1988,eurafrica,renovable,emerging,2.413699999999999
1989,america,fossil,advanced,59.75476999999999
1989,america,fossil,emerging,13.97755
1989,america,renovable,advanced,6.583819999999999
1989,america,renovable,emerging,3.9633899999999986
1989,asia,fossil,advanced,17.73019
1989,asia,fossil,emerging,26.821379999999998
1989,asia,renovable,advanced,2.3474700000000004
1989,asia,renovable,emerging,2.21018
1989,eurafrica,fossil,advanced,71.26178999999998
1989,eurafrica,fossil,emerging,19.912969999999994
1989,eurafrica,renovable,advanced,5.24709
1989,eurafrica,renovable,emerging,2.472489999999999
1990,america,fossil,advanced,59.00005
1990,america,fossil,emerging,14.05536
1990,america,renovable,advanced,7.02763
1990,america,renovable,emerging,4.152739999999999
1990,asia,fossil,advanced,18.38137
1990,asia,fossil,emerging,28.53493999999999
1990,asia,renovable,advanced,2.34892
1990,asia,renovable,emerging,2.41203
1990,eurafrica,fossil,advanced,70.83930000000002
1990,eurafrica,fossil,emerging,20.482679999999995
1990,eurafrica,renovable,advanced,5.4274
1990,eurafrica,renovable,emerging,2.5104899999999994
1991,america,fossil,advanced,58.60807
1991,america,fossil,emerging,14.652610000000005
1991,america,renovable,advanced,7.1758500000000005
1991,america,renovable,emerging,4.380349999999999
1991,asia,fossil,advanced,19.11384
1991,asia,fossil,emerging,29.74529
1991,asia,renovable,advanced,2.43157
1991,asia,renovable,emerging,2.4328800000000004
1991,eurafrica,fossil,advanced,78.74568000000001
1991,eurafrica,fossil,emerging,13.197699999999998
1991,eurafrica,renovable,advanced,5.8211900000000005
1991,eurafrica,renovable,emerging,2.21984
1992,america,fossil,advanced,60.26237
1992,america,fossil,emerging,14.88846
1992,america,renovable,advanced,6.90831
1992,america,renovable,emerging,4.493889999999999
1992,asia,fossil,advanced,19.62414
1992,asia,fossil,emerging,37.0532
1992,asia,renovable,advanced,2.32513
1992,asia,renovable,emerging,2.98667
1992,eurafrica,fossil,advanced,62.33769000000001
1992,eurafrica,fossil,emerging,20.441220000000005
1992,eurafrica,renovable,advanced,5.346070000000001
1992,eurafrica,renovable,emerging,2.391330000000001
1993,america,fossil,advanced,61.12543000000001
1993,america,fossil,emerging,13.338980000000005
1993,america,renovable,advanced,7.2607300000000015
1993,america,renovable,emerging,4.791310000000001
1993,asia,fossil,advanced,18.65992
1993,asia,fossil,emerging,35.55312
1993,asia,renovable,advanced,2.64514
1993,asia,renovable,emerging,3.1275300000000006
1993,eurafrica,fossil,advanced,58.82446999999999
1993,eurafrica,fossil,emerging,19.52195
1993,eurafrica,renovable,advanced,5.43916
1993,eurafrica,renovable,emerging,2.45214
1994,america,fossil,advanced,62.587040000000016
1994,america,fossil,emerging,16.237659999999998
1994,america,renovable,advanced,7.1511200000000015
1994,america,renovable,emerging,4.98807
1994,asia,fossil,advanced,21.18395
1994,asia,fossil,emerging,40.83162999999999
1994,asia,renovable,advanced,2.53777
1994,asia,renovable,emerging,3.3362
1994,eurafrica,fossil,advanced,58.52095
1994,eurafrica,fossil,emerging,19.593350000000004
1994,eurafrica,renovable,advanced,5.595549999999999
1994,eurafrica,renovable,emerging,2.4601900000000003
1995,america,fossil,advanced,63.58728000000001
1995,america,fossil,emerging,16.577650000000002
1995,america,renovable,advanced,7.70731
1995,america,renovable,emerging,5.23171
1995,asia,fossil,advanced,21.74716
1995,asia,fossil,emerging,42.97104
1995,asia,renovable,advanced,2.93867
1995,asia,renovable,emerging,3.2853800000000004
1995,eurafrica,fossil,advanced,59.07072000000001
1995,eurafrica,fossil,emerging,19.62054
1995,eurafrica,renovable,advanced,5.63604
1995,eurafrica,renovable,emerging,2.5438800000000006
1996,america,fossil,advanced,65.40948
1996,america,fossil,emerging,17.330379999999998
1996,america,renovable,advanced,8.3525
1996,america,renovable,emerging,5.4916300000000025
1996,asia,fossil,advanced,22.50596
1996,asia,fossil,emerging,45.36181
1996,asia,renovable,advanced,2.92932
1996,asia,renovable,emerging,3.29902
1996,eurafrica,fossil,advanced,58.09799
1996,eurafrica,fossil,emerging,20.17099
1996,eurafrica,renovable,advanced,5.47219
1996,eurafrica,renovable,emerging,2.3442400000000005
1997,america,fossil,advanced,66.16288
1997,america,fossil,emerging,18.141520000000003
1997,america,renovable,advanced,8.3067
1997,america,renovable,emerging,5.6278
1997,asia,fossil,advanced,23.17665
1997,asia,fossil,emerging,47.64760999999999
1997,asia,renovable,advanced,3.09328
1997,asia,renovable,emerging,3.1999800000000014
1997,eurafrica,fossil,advanced,57.37375
1997,eurafrica,fossil,emerging,19.878919999999994
1997,eurafrica,renovable,advanced,5.5566
1997,eurafrica,renovable,emerging,2.4672399999999994
1998,america,fossil,advanced,66.34791
1998,america,fossil,emerging,19.04135
1998,america,renovable,advanced,7.75312
1998,america,renovable,emerging,5.6953900000000015
1998,asia,fossil,advanced,23.22857
1998,asia,fossil,emerging,47.64949
1998,asia,renovable,advanced,3.21404
1998,asia,renovable,emerging,3.374610000000001
1998,eurafrica,fossil,advanced,58.41599
1998,eurafrica,fossil,emerging,19.794780000000006
1998,eurafrica,renovable,advanced,5.749949999999999
1998,eurafrica,renovable,emerging,2.5783399999999994
1999,america,fossil,advanced,67.89708999999999
1999,america,fossil,emerging,19.05228
1999,america,renovable,advanced,7.918260000000001
1999,america,renovable,emerging,5.829
1999,asia,fossil,advanced,24.25669
1999,asia,fossil,emerging,49.80431
1999,asia,renovable,advanced,3.25615
1999,asia,renovable,emerging,3.3600099999999995
1999,eurafrica,fossil,advanced,58.41849000000001
1999,eurafrica,fossil,emerging,20.223679999999995
1999,eurafrica,renovable,advanced,5.82214
1999,eurafrica,renovable,emerging,2.8430899999999992
2000,america,fossil,advanced,69.11211999999999
2000,america,fossil,emerging,19.67725
2000,america,renovable,advanced,7.59675
2000,america,renovable,emerging,6.130209999999999
2000,asia,fossil,advanced,24.969170000000002
2000,asia,fossil,emerging,51.66086999999999
2000,asia,renovable,advanced,3.3524800000000003
2000,asia,renovable,emerging,3.3184399999999994
2000,eurafrica,fossil,advanced,59.11456999999999
2000,eurafrica,fossil,emerging,20.531330000000004
2000,eurafrica,renovable,advanced,6.07584
2000,eurafrica,renovable,emerging,3.00921
2001,america,fossil,advanced,68.14989
2001,america,fossil,emerging,20.08472
2001,america,renovable,advanced,6.83563
2001,america,renovable,emerging,5.82615
2001,asia,fossil,advanced,25.082539999999998
2001,asia,fossil,emerging,52.80314
2001,asia,renovable,advanced,3.93325
2001,asia,renovable,emerging,3.3564300000000005
2001,eurafrica,fossil,advanced,59.972069999999995
2001,eurafrica,fossil,emerging,20.751380000000005
2001,eurafrica,renovable,advanced,6.576039999999999
2001,eurafrica,renovable,emerging,2.96736
2002,america,fossil,advanced,68.99744
2002,america,fossil,emerging,19.9199
2002,america,renovable,advanced,7.627860000000001
2002,america,renovable,emerging,5.9651099999999975
2002,asia,fossil,advanced,25.67413
2002,asia,fossil,emerging,55.36684
2002,asia,renovable,advanced,3.9775300000000002
2002,asia,renovable,emerging,3.43404
2002,eurafrica,fossil,advanced,60.68203000000001
2002,eurafrica,fossil,emerging,21.13292
2002,eurafrica,renovable,advanced,5.8942099999999975
2002,eurafrica,renovable,emerging,2.970610000000001
2003,america,fossil,advanced,69.34215
2003,america,fossil,emerging,20.078830000000004
2003,america,renovable,advanced,7.5056699999999985
2003,america,renovable,emerging,6.1581600000000005
2003,asia,fossil,advanced,26.86426
2003,asia,fossil,emerging,57.19843
2003,asia,renovable,advanced,4.06458
2003,asia,renovable,emerging,3.75905
2003,eurafrica,fossil,advanced,62.11408
2003,eurafrica,fossil,emerging,21.9204
2003,eurafrica,renovable,advanced,5.81773
2003,eurafrica,renovable,emerging,2.708330000000001
2004,america,fossil,advanced,71.03636
2004,america,fossil,emerging,20.93445
2004,america,renovable,advanced,7.220039999999999
2004,america,renovable,emerging,6.38515
2004,asia,fossil,advanced,28.60587
2004,asia,fossil,emerging,60.0993
2004,asia,renovable,advanced,4.71771
2004,asia,renovable,emerging,3.974280000000001
2004,eurafrica,fossil,advanced,63.505019999999995
2004,eurafrica,fossil,emerging,22.46203
2004,eurafrica,renovable,advanced,6.408059999999999
