fossil_total_ocde,fossil_total_no_ocde
166.54684,124.90494000000001
158.91036,127.2089
153.46089,132.05517
151.56218,135.49875
157.86313,143.12075
158.74671,148.76828
159.82497999999998,154.89652999999998
164.14030000000002,158.72252000000003
168.67582,164.17249
172.19394,164.49034
172.1326,167.46742
173.34079,161.53445
175.32555,152.91466
176.12090999999998,139.62601999999998
179.38477999999998,142.36188
182.30521,142.81207
188.45297999999997,140.25265000000002
190.90919000000002,138.93743999999998
191.37098,139.38084999999998
194.57299,143.54598
198.09824999999998,148.41593
197.33494000000002,150.02884
198.55109,154.56838000000002
201.496,160.13293
205.28084,167.22124000000002
205.79268,172.85373
205.39235,179.36953
207.01596999999998,184.79586999999998
203.26875,190.9711
191.77028,183.38639
198.77952000000002,197.59425000000002
196.1757,202.94970999999998
194.33832,209.55428999999998
